order_date,region,category,sales_amount,quantity
2024-01-01,East,Home,351.76,1
2024-01-02,West,Clothing,477.12,5
2024-01-03,North,Clothing,346.26,3
2024-01-04,East,Clothing,479.03,4
2024-01-05,East,Clothing,422.6,3
2024-01-06,West,Clothing,464.02,1
2024-01-07,North,Clothing,322.41,1
2024-01-08,North,Home,224.42,5
2024-01-09,East,Home,584.99,6
2024-01-10,South,Clothing,368.87,3
2024-01-11,East,Home,412.97,9
2024-01-12,East,Electronics,449.34,5
2024-01-13,East,Clothing,369.0,8
2024-01-14,East,Electronics,794.37,1
2024-01-15,West,Electronics,390.37,5
2024-01-16,North,Clothing,341.49,3
2024-01-17,West,Home,433.39,1
2024-01-18,West,Electronics,448.62,4
2024-01-19,West,Clothing,530.13,5
2024-01-20,East,Electronics,354.15,7
2024-01-21,South,Electronics,433.73,1
2024-01-22,North,Electronics,235.35,3
2024-01-23,South,Electronics,415.4,2
2024-01-24,West,Home,417.75,9
2024-01-25,West,Electronics,608.67,6
2024-01-26,South,Electronics,600.5,3
2024-01-27,South,Electronics,455.82,8
2024-01-28,South,Home,491.58,8
2024-01-29,West,Electronics,623.7,2
2024-01-30,West,Electronics,357.35,6
2024-01-31,North,Home,283.8,7
2024-02-01,North,Home,447.46,2
2024-02-02,West,Home,696.5,2
2024-02-03,South,Electronics,306.01,1
2024-02-04,South,Home,423.74,8
2024-02-05,North,Home,266.87,1
2024-02-06,West,Electronics,367.81,9
2024-02-07,North,Home,183.18,6
2024-02-08,North,Electronics,236.27,7
2024-02-09,East,Clothing,640.13,7
2024-02-10,East,Home,495.46,3
2024-02-11,East,Clothing,521.69,2
2024-02-12,South,Electronics,551.24,9
2024-02-13,West,Home,554.35,8
2024-02-14,West,Electronics,502.81,7
2024-02-15,West,Clothing,380.29,9
2024-02-16,West,Electronics,578.97,4
2024-02-17,East,Home,543.15,4
2024-02-18,South,Home,390.32,1
2024-02-19,South,Clothing,431.77,8
2024-02-20,East,Electronics,588.75,3
2024-02-21,South,Home,560.55,7
2024-02-22,East,Clothing,427.97,2
2024-02-23,West,Home,473.01,2
2024-02-24,East,Home,485.65,7
2024-02-25,West,Electronics,561.7,6
2024-02-26,West,Home,624.89,3
2024-02-27,North,Electronics,256.56,9
2024-02-28,East,Home,616.92,6
2024-02-29,North,Clothing,337.33,6
2024-03-01,East,Home,520.57,1
2024-03-02,East,Electronics,355.65,4
2024-03-03,North,Electronics,147.23,6
2024-03-04,North,Clothing,324.12,6
2024-03-05,East,Home,328.95,5
2024-03-06,South,Home,511.9,1
2024-03-07,West,Clothing,600.05,8
2024-03-08,North,Home,265.24,5
2024-03-09,West,Home,439.86,5
2024-03-10,South,Electronics,415.34,7
2024-03-11,South,Home,581.62,4
2024-03-12,South,Home,547.17,6
2024-03-13,North,Clothing,221.45,4
2024-03-14,South,Clothing,606.53,3
2024-03-15,North,Electronics,335.4,7
2024-03-16,South,Home,678.86,8
2024-03-17,West,Home,556.69,4
2024-03-18,West,Home,483.55,2
2024-03-19,East,Electronics,485.7,3
2024-03-20,West,Electronics,306.54,1
2024-03-21,East,Clothing,515.07,8
2024-03-22,West,Electronics,498.43,3
2024-03-23,North,Home,116.99,7
2024-03-24,West,Home,497.47,5
2024-03-25,East,Electronics,634.32,5
2024-03-26,East,Home,426.55,7
2024-03-27,South,Home,404.01,9
2024-03-28,North,Electronics,360.49,5
2024-03-29,West,Electronics,563.42,1
2024-03-30,South,Home,806.11,1
2024-03-31,West,Home,368.14,2
2024-04-01,West,Home,572.04,6
2024-04-02,South,Clothing,531.59,9
2024-04-03,South,Clothing,505.93,8
2024-04-04,South,Clothing,591.05,5
2024-04-05,South,Electronics,497.03,1
2024-04-06,South,Clothing,306.36,7
2024-04-07,West,Electronics,415.26,5
2024-04-08,South,Electronics,636.44,6
2024-04-09,North,Clothing,367.2,7
